tottrees,Latitude,Longitude,MAP,MAT
897,-26.19775,16.51281,111,16.4
1953,-26.22324,16.54975,120,16.2
2,-26.22398,16.76304,152,16
631,-26.23631,16.59573,124,16.2
100,-26.23701,18.17039,167,20.5
8,-26.24473,16.93947,141,17.6
518,-26.2511,16.5858,121,16.2
1,-26.2741,16.57113,115,16.4
4,-26.27739,17.84954,139,20.9
19,-26.31914,17.8655,141,20.8
9,-26.32199,18.18914,170,20.3
1,-26.34772,17.29219,158,18.3
4,-26.35608,16.82789,145,16.1
3,-26.35791,17.90912,135,21
30,-26.36414,17.86764,133,21
5,-26.36514,18.19618,170,20.2
77,-26.37578,16.86818,139,16.7
9,-26.38259,16.73935,155,15.1
96,-26.39508,16.90871,135,17.2
96,-26.39742,16.52633,100,16.6
160,-26.40032,17.99146,152,20.5
100,-26.40891,18.19715,166,20.3
450,-26.41544,16.94739,131,17.6
18,-26.42215,16.73946,139,15.6
46,-26.42782,16.9936,127,17.9
507,-26.42785,18.01489,156,20.3
110,-26.43641,16.50979,106,16.1
18,-26.44251,17.44816,145,19.1
270,-26.44843,18.18038,156,20.6
3,-26.45104,16.80951,130,16.4
59,-26.46245,17.07616,121,18.6
4,-26.46442,18.04045,152,20.5
2,-26.46713,16.84708,137,16.2
1,-26.48405,17.36706,131,19.3
1,-26.48914,17.11405,119,18.7
8,-26.49667,18.07131,148,20.7
9,-26.49942,16.87828,132,16.5
11,-26.4997,17.47664,139,19.3
3,-26.51678,16.91812,127,17
23,-26.52076,17.01098,123,17.9
2,-26.52077,17.36239,127,19.4
245,-26.52875,17.05806,120,18.4
2,-26.54536,16.43024,109,15.4
10,-26.55866,17.37562,130,19.3
27,-26.5812,17.34394,129,19.1
214,-26.5901,17.19556,112,19
158,-26.5956,18.32879,136,20.9
53,-26.5965,18.3774,137,20.8
105,-26.59834,17.30376,124,19.1
87,-26.59838,16.04062,56,15.8
270,-26.59906,18.42574,138,20.9
46,-26.60437,18.47437,137,20.9
62,-26.61221,17.15731,108,19
8,-26.62322,17.26352,114,19.3
234,-26.64052,17.12118,108,18.7
1,-26.64913,16.42513,127,14.4
2,-26.65205,16.92999,122,16.8
76,-26.65708,16.97815,118,17.4
17,-26.65804,17.02748,114,18
11,-26.66016,17.07588,111,18.3
37,-26.67444,17.12186,109,18.6
9,-26.67969,18.20316,134,20.7
2,-26.68453,18.30684,125,21.2
7,-26.69091,17.16674,107,18.9
1,-26.69134,17.37651,113,19.5
7,-26.70014,17.33033,114,19.3
1,-26.70052,19.36297,150,19.8
4,-26.70821,18.01358,119,21.2
17,-26.71138,17.28391,112,19.1
5,-26.7129,18.69621,131,20.8
4,-26.71736,17.20286,106,19.1
50,-26.71744,18.22631,122,21.2
1,-26.73121,18.81719,135,20.5
28,-26.73977,17.97716,118,21.2
1,-26.74169,17.23005,105,19.1
143,-26.75403,17.68409,116,20.3
4,-26.75686,17.22437,104,19.1
1,-26.76174,19.55077,168,19.6
14,-26.76189,18.04041,116,21.2
54,-26.76541,17.6405,120,20
9,-26.76582,18.84785,136,20.3
5,-26.77026,17.94192,117,21
179,-26.77739,19.58369,171,19.5
25,-26.77765,17.26614,107,19.1
1,-26.78208,17.19276,100,19
84,-26.79111,17.90096,113,21.1
1,-26.79611,17.31086,107,19.2
11,-26.79947,17.85266,109,21.1
9,-26.8012,18.91084,138,20.2
2,-26.80482,18.8725,137,20.3
1,-26.8076,17.80486,108,21
47,-26.81619,19.61064,165,19.7
72,-26.82533,17.92467,110,21.2
2,-26.83519,17.18562,98,18.9
14,-26.83551,18.93852,142,20
2,-26.83803,17.34594,103,19.4
46,-26.8554,18.97697,142,19.9
15,-26.85618,16.68847,113,15.4
71,-26.85798,17.14376,97,18.6
7,-26.86138,19.02016,151,19.6
1,-26.8656,17.18098,97,18.8
18,-26.86761,17.92219,111,21
1,-26.86806,17.54478,114,19.7
18,-26.87349,18.26537,117,21
773,-26.8865,17.10718,101,18.2
8,-26.89287,16.76649,103,16.2
5,-26.89672,17.82106,110,20.9
1,-26.90515,17.17576,97,18.7
5,-26.90921,17.93201,110,21.1
16,-26.91061,17.07336,105,17.7
46,-26.91246,18.26017,121,20.6
8,-26.93808,16.82702,102,16.5
1,-26.94502,17.51364,108,19.6
37,-26.95175,17.05948,105,17.5
98,-26.95283,18.24861,134,19.7
1,-26.95823,16.88581,99,16.9
2,-26.95985,17.47566,108,19.4
3,-26.96924,16.93287,96,17.1
389,-26.97873,16.82134,102,16.3
172,-26.99327,18.25231,130,19.9
2,-26.99513,17.05272,100,17.6
18,-26.99815,16.96975,96,17.3
1274,-27.00465,16.78232,106,15.9
1,-27.01482,18.61301,130,20
91,-27.026,17.22742,94,18.8
3,-27.02712,18.86168,160,18.7
1,-27.02755,18.67864,138,19.6
149,-27.03157,16.7454,107,15.7
