tottrees,Latitude,Longitude,MAP,MAT
22,-28.82064,19.75195,178,19.5
14,-28.82302,20.39492,187,19.5
81,-28.82561,19.45975,127,20.2
24,-28.82619,19.33973,109,20.7
439,-28.82795,21.03515,174,19.4
7,-28.83261,19.50747,128,20.3
60,-28.83328,18.48012,76,22.4
144,-28.83418,20.34645,190,19.4
1,-28.83642,19.55623,143,20
1560,-28.83918,20.29341,194,19.3
1904,-28.84116,20.24337,202,19.3
6,-28.84434,18.26198,68,23
4,-28.84666,20.19379,202,19.3
64,-28.84873,18.36064,75,22.7
3,-28.84944,17.70008,76,19
73,-28.85076,19.71737,179,19.4
131,-28.85114,20.14411,205,19.3
158,-28.85618,19.60029,162,19.6
133,-28.857,20.09465,214,19.1
5,-28.86278,20.04532,221,19
113,-28.86772,19.64784,175,19.4
11,-28.86861,19.99556,217,18.9
19,-28.86967,21.04791,181,19.2
17,-28.86982,19.33781,91,21.3
3,-28.87145,18.65423,60,23
19,-28.87438,19.94605,215,18.9
124,-28.87829,18.33667,59,23.1
168,-28.87928,19.69203,181,19.3
14,-28.88035,19.89693,209,19
21,-28.88044,18.29182,58,23
29,-28.88913,17.71995,86,18.7
11,-28.89249,18.67755,73,22.3
8,-28.8929,21.33167,202,18.9
21,-28.89317,19.84913,206,19
1,-28.89354,18.52208,61,23.2
1,-28.89474,18.56706,68,22.6
3,-28.90177,18.16605,59,22.3
24,-28.90764,19.80176,206,18.9
165,-28.90777,21.07218,185,19.1
38,-28.9099,19.34909,92,21.4
10,-28.90992,18.12206,63,21.8
4,-28.91397,18.23704,62,22.7
3,-28.92022,18.19504,61,22.5
4,-28.92411,22.45019,260,19.3
40,-28.92467,18.71022,92,21
48,-28.92706,17.74388,91,18.4
461,-28.92744,22.31067,249,19.7
22,-28.93325,19.76296,208,18.9
84,-28.93557,21.32254,210,18.6
24,-28.93734,22.40313,254,19.5
77,-28.94109,22.35755,250,19.7
1545,-28.94577,21.09644,197,18.8
2664,-28.94653,19.37704,103,20.9
103,-28.94719,18.10585,70,21.4
16,-28.95703,18.24411,72,22.4
32,-28.9603,18.50199,77,22.2
9,-28.96096,17.77533,102,18.1
422,-28.96105,22.01041,226,19.9
36,-28.96474,18.72295,112,20.2
6,-28.96629,19.73001,209,18.7
3,-28.97973,21.3144,208,18.7
151,-28.9808,22.18843,235,20.1
7795,-28.98225,19.40433,116,20.5
2,-28.98387,18.23517,74,22.2
589,-28.98489,21.11819,198,18.8
99,-28.98676,18.09698,77,21.2
18,-28.99265,18.28163,87,21.4
7,-28.99505,17.80704,113,17.7
25,-28.99538,18.7517,111,20.1
15,-28.99748,19.69476,195,18.9
467,-29.00223,18.92729,103,20.4
123,-29.00253,18.50158,92,21.2
125,-29.00282,18.79889,106,20.3
3,-29.00431,22.22749,248,19.7
104,-29.01323,18.97341,94,20.8
12,-29.01396,18.32465,97,20.7
2328,-29.01787,19.00126,82,21.1
133,-29.01882,19.43232,137,19.9
92,-29.01905,18.84473,107,20.3
108,-29.02077,18.88487,120,19.8
21,-29.02086,19.65392,181,19.2
530,-29.0217,21.13706,194,18.8
34,-29.02604,18.46553,104,20.5
46,-29.02631,21.30042,210,18.6
62,-29.02952,18.09319,81,20.8
1,-29.03094,22.26582,253,19.5
36,-29.03145,17.8345,117,17.7
10,-29.03924,19.60849,160,19.6
12,-29.04817,21.53552,227,18.5
6910,-29.05086,18.97936,106,20.3
311,-29.05742,19.43951,167,19.2
151,-29.06301,21.15118,191,18.9
33,-29.06446,21.29155,201,18.8
1,-29.07135,17.85013,117,17.9
450,-29.07298,19.0073,108,20.2
11,-29.08126,19.52015,165,19.3
537,-29.0838,19.41349,178,18.9
1,-29.08877,21.51987,219,18.6
198,-29.10444,19.479,181,18.9
49,-29.10577,21.27559,195,18.9
21,-29.10638,21.15751,181,19.1
238,-29.10883,19.0317,127,19.6
1110,-29.11463,19.07667,113,20.1
91,-29.11552,19.43169,190,18.5
11,-29.12509,19.40055,190,18.6
1,-29.12577,22.35788,254,19.3
4,-29.12613,19.3846,187,18.6
10,-29.12657,21.49471,216,18.7
58,-29.12778,19.23552,144,19.4
19,-29.12984,19.28546,165,18.9
3,-29.13186,19.33549,187,18.5
2,-29.14247,19.13914,116,20.1
376,-29.14298,21.24826,191,18.9
255,-29.14722,21.16166,182,19.1
27,-29.15613,22.37018,255,19.2
9,-29.15831,19.09226,122,19.8
8,-29.16667,21.47574,209,18.8
1,-29.17117,18.04384,117,18.8
6,-29.17376,19.04597,134,19.4
18,-29.17672,21.21908,191,18.9
1,-29.17698,21.92723,237,19.1
136,-29.1908,21.16396,182,19
8,-29.19562,22.35828,253,19.2
62,-29.19564,17.81285,149,16.6
3,-29.19998,21.4487,202,18.9
2,-29.20785,21.8957,236,19
8,-29.20938,18.95473,141,19.1
143,-29.21241,18.03085,129,18.3
11,-29.21407,21.19314,179,19.1
18,-29.22188,21.40625,197,19
3,-29.2226,17.65723,143,16.1
5,-29.22442,19.43119,203,18.1
7,-29.22854,18.90987,137,19.2
228,-29.23443,21.16626,175,19.2
5,-29.24468,21.36507,189,19.1
42,-29.24881,18.00526,140,18
16,-29.25116,19.4662,206,18.1
6,-29.26204,18.87747,129,19.5
734,-29.26982,22.39038,252,19.2
23,-29.27215,21.32599,182,19.2
3,-29.27309,21.33371,182,19.2
9,-29.27575,21.38325,188,19.1
11,-29.27613,21.43299,197,19
170,-29.27677,21.16169,169,19.2
13,-29.27686,21.48254,203,18.9
2,-29.27867,19.68911,211,18.2
7,-29.27993,19.50309,201,18.1
3,-29.2807,21.53182,204,18.9
3,-29.28195,21.72748,224,18.7
648,-29.28526,21.2873,178,19.2
124,-29.2873,22.4383,253,19
1,-29.28845,21.58115,209,18.9
1,-29.2961,21.63011,213,18.9
7,-29.29913,19.59379,200,18.3
1780,-29.3025,22.35957,238,19.6
626,-29.30564,21.24294,171,19.3
1,-29.32795,22.83358,288,17.7
3935,-29.32813,22.3268,235,19.6
4,-29.32889,21.20107,165,19.4
15554,-29.34162,22.28717,233,19.6
3,-29.34308,19.52866,201,18.1
3,-29.34385,22.56506,275,18.2
6,-29.34674,22.23921,234,19.5
11,-29.35268,18.70349,127,19.4
46,-29.35451,21.15358,156,19.5
14,-29.36788,17.95028,164,17.1
3,-29.3679,22.82486,284,17.8
132,-29.37161,21.19825,160,19.5
30,-29.37699,22.59627,257,18.8
1,-29.37711,17.79688,154,16.9
2,-29.38212,19.50795,202,18
10,-29.39222,22.64161,255,19
33,-29.39799,21.23784,165,19.4
1345,-29.40042,21.11228,167,19.2
4402,-29.4083,21.06754,167,19.2
2,-29.40929,22.81227,307,17
6,-29.41019,22.68589,270,18.4
3,-29.41113,17.95466,172,17
132,-29.4112,21.01876,173,18.9
89,-29.41241,21.10028,172,19.1
1211,-29.41636,20.97168,173,18.9
1,-29.41768,17.81783,154,17.2
704,-29.42566,20.92239,176,18.8
391,-29.43487,21.26,165,19.4
51,-29.44687,20.87899,177,18.8
98,-29.44708,21.07254,173,19
9,-29.44799,22.78936,296,17.3
30,-29.45357,17.95709,165,17.3
2043,-29.45551,17.83858,138,17.8
8,-29.46529,20.83474,175,18.7
1,-29.47094,18.4349,153,18.4
164,-29.47769,21.27295,170,19.3
42,-29.48297,21.04375,173,18.9
5,-29.48708,22.76723,289,17.5
3,-29.48965,20.79333,182,18.6
130,-29.49402,17.94268,184,16.7
676,-29.49789,17.84313,145,17.7
5,-29.5058,22.72633,260,18.7
2,-29.50754,18.2905,160,18
105,-29.51852,21.01519,179,18.7
697,-29.52022,21.2783,174,19.2
29,-29.52524,22.76937,274,18.1
471,-29.53091,18.24869,164,17.9
4,-29.53479,17.94319,181,17
426,-29.53725,17.86285,158,17.8
1,-29.54317,22.80863,259,18.7
60,-29.54761,22.71607,268,18.2
606,-29.55092,18.2049,175,17.5
11,-29.55164,18.15667,179,17.4
6,-29.5542,20.98647,180,18.6
1262,-29.56252,21.27742,170,19.2
335,-29.56705,18.05626,181,17.3
205,-29.57339,22.83536,249,19.1
523,-29.58094,18.00837,185,17.1
41,-29.58147,17.86847,165,17.8
3,-29.58163,22.44505,250,18.6
2428,-29.58309,22.7178,250,18.9
5,-29.59015,20.95757,174,18.7
1,-29.60076,22.49131,253,18.5
186,-29.60112,17.96413,187,16.9
45,-29.60661,21.27667,177,19.1
1182,-29.62127,22.72623,246,19
7,-29.62441,22.53206,257,18.3
22,-29.63768,17.93782,190,17
77,-29.6465,22.60485,273,17.7
16,-29.64886,22.64502,261,18.3
100,-29.64984,21.28251,170,19.2
12,-29.65028,22.57182,271,17.8
8,-29.65348,22.7481,245,19
204,-29.66179,17.89858,188,17.2
51,-29.66478,22.69064,255,18.5
11,-29.667,17.57906,97,18.1
4,-29.66803,17.6234,98,18.2
2,-29.67224,17.85701,182,17.3
151,-29.67902,17.5372,102,17.7
5,-29.6792,17.64166,122,17.5
31,-29.67997,17.90225,169,17.7
367,-29.68257,21.3106,178,19
49,-29.68621,17.81772,169,17.3
423,-29.68661,22.73445,248,18.8
235,-29.68968,22.74074,254,18.6
134,-29.69672,17.73803,146,17.4
311,-29.69703,17.6975,137,17.5
1,-29.69848,17.65602,164,16.7
68,-29.69956,17.9445,173,17.7
130,-29.70146,17.89568,165,17.7
24,-29.70938,17.77429,163,17.2
67,-29.71123,18.08111,174,17.8
1048,-29.7123,17.88477,171,17.5
18,-29.71539,22.7719,252,18.6
2,-29.71647,21.34099,177,19.1
31,-29.71725,17.5196,132,16.8
189,-29.71765,17.98881,194,16.9
3107,-29.72396,22.70938,252,18.6
262,-29.72563,18.03529,176,17.7
47,-29.73287,17.86157,174,17.4
1571,-29.73371,17.92579,160,17.8
10,-29.73424,18.11872,190,17.1
1,-29.74781,22.80586,253,18.5
14,-29.74904,21.37413,181,19
1,-29.75387,17.51612,137,16.6
100,-29.76895,17.83416,174,17.1
145,-29.77433,17.94157,158,17.8
1,-29.77973,21.40962,185,18.9
37,-29.78967,17.49265,118,17.1
194,-29.81219,17.84383,187,16.8
182,-29.81404,17.95517,162,17.7
63,-29.82026,17.46885,119,17
109,-29.85001,17.8641,182,16.9
75,-29.85691,17.95964,153,17.9
581,-29.88969,17.8757,162,17.4
13,-29.89446,22.96516,256,18.2
5,-29.89523,17.50228,121,17.2
220,-29.89859,17.96064,160,17.7
11,-29.90104,18.46469,192,17.2
4,-29.91956,18.42038,190,17.3
2,-29.92259,22.51039,258,17.7
131,-29.92947,17.8883,148,17.8
64,-29.93111,18.42215,192,17.2
3,-29.93386,17.48577,119,17.3
473,-29.94109,17.95868,147,18
15,-29.96227,18.43076,200,17
229,-29.96349,18.39573,199,17
259,-29.9705,17.90354,146,17.9
1091,-29.97761,17.98463,155,17.9
2506,-29.9888,18.36024,200,17
6,-29.99316,18.46307,204,16.8
1716,-29.99446,18.31314,186,17.3
318,-29.99696,21.65259,189,19
458,-30.008,17.87856,162,17.4
861,-30.01514,17.97637,174,17.2
2,-30.01964,18.50405,204,16.8
1436,-30.02401,18.27642,167,18
711,-30.04673,17.99386,205,16.3
171,-30.04889,17.89258,178,16.9
5,-30.05266,18.52331,207,16.7
1,-30.0599,19.94266,170,17.8
2711,-30.06385,18.25942,180,17.5
204,-30.08291,18.00256,195,16.6
517,-30.0911,17.90618,195,16.5
1,-30.09591,18.50729,212,16.6
1758,-30.10342,18.24493,193,17
175,-30.11699,18.02032,210,16.2
80,-30.12932,17.92722,207,16
1142,-30.13444,18.2238,200,16.7
3,-30.13893,18.49639,220,16.4
54,-30.15138,18.12248,217,16.1
162,-30.16003,18.09586,227,15.8
256,-30.16827,18.19353,212,16.4
370,-30.17176,17.92987,219,15.7
6,-30.18315,18.49383,226,16.2
128,-30.18474,18.15465,239,15.6
3,-30.18505,18.02945,252,15
222,-30.18803,17.98401,247,15
132,-30.19974,17.94499,213,15.8
4,-30.2108,17.92221,208,16
6,-30.2266,18.49303,230,16.1
1,-30.23942,22.00772,206,18.7
1,-30.24069,17.89545,214,15.8
2,-30.26771,18.50074,235,15.9
2,-30.3103,18.49525,240,15.8
2,-30.35284,21.82349,192,18.8
8,-30.35698,21.5101,195,18.2
5,-30.35896,21.46165,186,18.4
1,-30.36324,21.18645,168,18.4
7,-30.37726,21.41642,182,18.4
26,-30.37994,21.55299,193,18.4
4,-30.40395,21.59404,192,18.4
1,-30.40976,21.2697,174,18.4
20,-30.48704,17.94417,184,17.2
1,-30.49704,18.67257,225,16.5
5,-30.54907,17.98183,162,18.2
1,-30.56636,18.69498,236,16.2
27,-30.58776,18.13239,197,17.1
10,-30.59229,18.08649,175,18
3,-30.60808,18.69032,228,16.6
38,-30.64529,18.71217,218,16.8
19,-30.67711,18.73985,215,17.1
35,-30.67717,18.69523,215,17
39,-30.67869,18.18234,201,17.1
43,-30.70743,18.21387,174,18.1
2,-30.70825,18.77322,206,17.3
90,-30.71295,18.43729,171,18.2
346,-30.71517,18.2666,164,18.5
10,-30.71867,18.6082,199,17.5
91,-30.71909,18.38831,169,18.4
8,-30.72767,18.4845,184,17.9
21,-30.73791,18.23177,179,18
205,-30.73933,18.34577,173,18.2
888,-30.73977,18.29656,165,18.5
85,-30.74148,18.56534,194,17.7
4,-30.75518,18.52162,203,17.4
238,-30.75595,18.51759,203,17.4
540,-30.7621,18.91093,197,17.8
1,-30.77963,18.47848,195,17.6
3,-30.77967,18.09777,170,18.4
579,-30.77983,18.95626,188,18.1
212,-30.80099,19.0006,182,18.4
17,-30.81103,18.11639,159,18.7
56,-30.82464,19.04333,173,18.7
316,-30.84488,19.12945,167,18.9
71,-30.85064,19.08364,168,18.8
968,-30.85419,19.17743,169,18.8
541,-30.90895,19.25611,182,18.4
1201,-30.94093,19.28616,192,18.1
11,-30.95411,18.67489,176,18.5
19,-30.95614,19.32898,202,17.7
14,-30.96102,19.39074,216,17.1
1,-30.96248,20.32947,164,17.1
11,-30.98457,19.36469,217,17.2
7,-30.992,18.64996,172,18.6
30,-30.99326,19.35587,235,16.6
3,-31.00484,19.48583,220,16.7
240,-31.026,19.32779,222,17.2
13,-31.0296,18.62565,165,18.7
3,-31.04766,19.48135,210,17.3
13211,-31.05861,19.29653,216,17.6
3,-31.09048,19.47075,218,17
3031,-31.09997,19.2818,204,18
10,-31.13361,19.45782,217,17.2
962,-31.13833,19.25809,207,18.1
38,-31.17635,19.44796,219,17.3
705,-31.2161,19.45017,196,18.1
7411,-31.22664,19.21252,185,18.9
3747,-31.22668,19.21253,185,18.9
4441,-31.22699,19.26239,190,18.6
3648,-31.23814,19.30545,185,18.7
782,-31.2544,19.46958,186,18.5
376,-31.2562,19.34568,206,18.1
211,-31.25659,19.17868,203,18.5
3070,-31.2665,19.38052,202,18.2
2897,-31.27865,19.50363,207,17.6
72,-31.28349,19.14366,252,17.3
54,-31.29617,19.39264,221,17.6
3,-31.31079,19.48155,213,17.5
54,-31.31796,19.43538,214,17.7
467,-31.31804,19.50886,214,17.4
3,-31.35541,19.52762,224,16.9
1,-31.39313,19.54721,239,16.4
